random_id,motivacion,conectado,sexojefe,edadjefe,jefesabeleer,jefesabeescribir,pdiasfueaescuela
714,0,1,2,43,0,0,
718,1,1,1,43,0,0,57.14286
719,1,0,1,108,0,0,
720,1,1,2,57,1,1,42.857143
723,0,0,1,55,1,0,
724,0,0,1,85,0,0,
725,1,1,1,73,0,0,
726,0,0,1,75,1,1,
727,1,1,1,39,1,1,57.14286
728,0,0,1,38,1,1,57.14286
729,1,0,2,58,0,0,
731,0,0,1,62,0,0,
732,1,1,1,51,1,1,42.857143
733,1,1,1,45,1,1,
734,1,1,1,44,1,1,57.14286
735,0,0,2,59,0,0,
736,0,0,2,49,0,0,
738,0,0,1,54,1,1,85.714287
739,1,1,1,43,1,1,85.714287
740,0,0,1,41,1,1,85.714287
741,0,1,1,64,0,0,85.714287
744,0,1,1,42,1,1,
746,0,0,2,79,0,0,
747,1,1,2,46,0,0,
749,0,0,1,83,0,0,
750,0,0,2,60,,,71.428574
751,1,1,1,85,1,1,
752,0,0,1,55,1,1,
753,1,1,1,43,0,0,85.714287
754,0,0,1,41,1,1,
755,1,1,1,52,1,1,14.285715
757,1,1,1,51,1,1,
758,1,1,2,59,1,1,85.714287
759,1,1,1,71,1,1,
762,1,0,1,53,1,1,
763,0,0,1,57,0,0,
764,1,0,1,43,1,1,85.714287
765,1,1,1,46,1,1,85.714287
767,0,0,2,86,0,0,
770,0,1,1,45,0,0,
771,1,0,1,41,0,0,0
772,1,1,2,38,0,0,
773,0,0,1,36,1,1,
774,0,0,2,48,1,1,85.714287
775,0,0,1,73,1,1,
776,1,1,1,58,1,1,
777,1,0,1,71,,,
779,1,1,1,75,1,1,
780,1,1,1,47,1,1,57.14286
781,0,0,1,48,1,1,71.428574
782,1,1,1,64,1,1,
783,1,1,1,50,1,1,85.714287
784,1,1,1,30,0,0,
785,0,0,1,51,1,1,
786,1,1,1,56,1,1,
787,0,0,2,71,0,0,
789,1,1,1,60,1,1,
790,1,1,1,48,0,0,57.14286
791,1,1,2,76,0,0,
792,1,1,2,46,0,0,
793,0,0,1,63,0,0,
794,1,0,1,52,0,0,42.857143
795,0,0,2,,0,0,
798,1,0,1,48,1,1,57.14286
799,0,0,1,71,1,1,71.428574
800,1,0,1,66,0,0,
801,1,0,2,61,1,0,
802,0,1,1,53,1,1,57.14286
803,1,1,2,55,0,0,
804,1,1,2,71,0,0,
806,1,0,1,41,1,1,0
807,1,1,1,65,0,0,
808,0,1,1,24,1,1,
809,0,0,1,81,0,0,
810,1,1,1,56,1,1,57.14286
812,0,0,1,71,0,0,
813,0,0,2,71,0,0,
814,1,1,1,58,1,1,85.714287
815,0,0,1,35,1,1,
816,1,0,1,92,0,0,
817,1,1,1,47,1,1,
818,0,0,2,53,0,0,14.285715
819,1,1,1,22,1,1,42.857143
820,1,1,2,45,0,0,28.57143
822,1,0,1,71,0,0,
